Administrative Conference of the United States,ACUS
Advisory Council on Historic Preservation,ACHP
American Battle Monuments Commission,ABMC
AMTRAK,AMTRAK
Appalachian Regional Commission,APPRC
Armed Forces Retirement Home,AFRH
Barry Goldwater Scholarship and Excellence in Education Foundation,BGSF
U.S. Chemical Safety Board,CSB
Christopher Columbus Fellowship Foundation,CCFF
Civil Air Patrol,CAP
Commodity Futures Trading Commission,CFTC
Consumer Financial Protection Bureau,CFPB
Consumer Product Safety Commission,CPSC
Corporation for National and Community Service,CNCS
Council of Inspectors General on Integrity and Efficiency,CIGIE
Court Services and Offender Supervision,CSOSA
Defense Nuclear Facilities Safety Board,DNFSB
Delta Regional Authority,DRA
Denali Commission,DENALI
Department of Commerce,DOC
Department of Defense,DOD
Department of Education,ED
Department of Energy,DOE
Department of Health and Human Services,HHS
Department of Homeland Security,DHS
Department of Housing and Urban Development,HUD
Department of Justice,DOJ
Department of Labor,DOL
Department of State,DOS
Department of State Office of Inspector General,DOSOIG
Department of the Interior,DOI
Department of the Treasury,TREAS
Department of Transportation,DOT
Department of Veterans Affairs,VA
Election Assistance Commission,EAC
Environmental Protection Agency,EPA
Equal Employment Opportunity Commission,EEOC
Executive Office of the President,EOP
Export-Import Bank of the United States,EXIM
Farm Credit Administration,FCA
Federal Communications Commission,FCC
Federal Deposit Insurance Corporation,FDIC
Federal Election Commission,FEC
Federal Energy Regulatory Commission,FERC
Federal Financial Institutions Examination Council,FFIEC
Federal Housing Finance Agency,FHFA
Federal Housing Finance Agency Office of Inspector General,FHFAOIG
Federal Labor Relations Authority,FLRA
Federal Maritime Commission,FMC
Federal Mediation and Conciliation Service,FMCS
Federal Mine Safety and Health Review Commission,FMSHRC
Federal Reserve Board of Governors,FRB
Federal Retirement Thrift Investment Board,FRTIB
Federal Trade Commission,FTC
General Services Administration,GSA
Government Publishing Office,GPO
Gulf Coast Ecosystem Restoration Council,GCERC
Harry S. Truman Scholarship Foundation,HTSF
Institute of Museum and Library Services,IMLS
Inter-American Foundation,IAF
International Boundary and Water Commission,IBWC
James Madison Memorial Fellowship Foundation,JMMFF
Japan-U.S. Friendship Commission,JUSFC
Legal Services Corporation,LSC
Marine Mammal Commission,MMC
Merit Systems Protection Board,MSPB
Millennium Challenge Corporation,MCC
Morris K. Udall and Stewart L. Udall Foundation,UDALL
National Aeronautics and Space Administration,NASA
National Archives and Records Administration,NARA
"National Commission on Military, National, and Public Service", NCMNPS
National Capital Planning Commission,NCPC
National Council on Disability,NCD
National Credit Union Administration,NCUA
National Endowment for the Arts,NEA
National Endowment for the Humanities,NEH
National Gallery of Art,NGA
National Indian Gaming Commission,NIGC
National Labor Relations Board,NLRB
National Mediation Board,NMB
National Science Foundation,NSF
National Security Commission on Artificial Intelligence,NSCAI
National Transportation Safety Board,NTSB
Nuclear Regulatory Commission,NRC
Occupational Safety and Health Review Commission,OSHRC
Office of Government Ethics,OGE
Office of Personnel Management,OPM
Pension Benefit Guaranty Corporation,PBGC
Postal Regulatory Commission,PRC
Presidio Trust,PT
Privacy and Civil Liberties Oversight Board,PCLOB
Railroad Retirement Board,RRB
Securities and Exchange Commission,SEC
Selective Service System,SSS
Small Business Administration,SBA
Smithsonian Institution,SI
Social Security Administration,SSA
Social Security Advisory Board,SSAB
State Justice Institute,SJI
Surface Transportation Board,STB
Tennessee Valley Authority,TVA
The Legislative Branch,HOR
United States AbilityOne,USAC
United States Access Board,USAB
United States African Development Foundation,ADF
United States Agency for Global Media,USAGM
United States Holocaust Memorial Museum,USHMM
United States Institute of Peace,USIP
United States Interagency Council on Homelessness,USICH
United States International Development Finance Corporation,DFC
United States International Trade Commission,USITC
United States Postal Service,USPS
United States Postal Service Office of Inspector General,USPSOIG
United States Trade and Development Agency,USTDA
U.S. Agency for International Development,USAID
U.S. Commission of Fine Arts,CFA
U.S. Commission on Civil Rights,USCCR
U.S. Department of Agriculture,USDA
U.S. Nuclear Waste Technical Review Board,NWTRB
U.S. Office of Special Counsel,OSC
Peace Corps,PC
Vietnam Education Foundation,VEF
